12.9インチiPad Pro,1024x1366 pt（2048x2732 px @2x）
11インチiPad Pro,834x1194 pt（1668x2388 px @2x）
10.5インチiPad Pro,834x1194 pt（1668x2388 px @2x）
9.7インチiPad Pro,768x1024 pt（1536x2048 px @2x）
8.3インチiPad mini,744x1133 pt（1488x2266 px @2x）
7.9インチiPad mini,768x1024 pt（1536x2048 px @2x）
10.9インチiPad Air,820x1180 pt（1640x2360 px @2x）
10.5インチiPad Air,834x1112 pt（1668x2224 px @2x）
9.7インチiPad Air,768x1024 pt（1536x2048 px @2x）
10.2インチiPad,810x1080 pt（1620x2160 px @2x）
9.7インチiPad,768x1024 pt（1536x2048 px @2x）
iPhone 15 Pro Max,430x932 pt（1290x2796 px @3x）
iPhone 15 Pro,393x852 pt（1179x2556 px @3x）
iPhone 15 Plus,430x932 pt（1290x2796 px @3x）
iPhone 15,393x852 pt（1179x2556 px @3x）
iPhone 14 Pro Max,430x932 pt（1290x2796 px @3x）
iPhone 14 Pro,393x852 pt（1179x2556 px @3x）
iPhone 14 Plus,428x926 pt（1284x2778 px @3x）
iPhone 14,390x844 pt（1170x2532 px @3x）
iPhone 13 Pro Max,428x926 pt（1284x2778 px @3x）
iPhone 13 Pro,390x844 pt（1170x2532 px @3x）
iPhone 13,390x844 pt（1170x2532 px @3x）
iPhone 13 mini,375x812 pt（1125x2436 px @3x）
iPhone 12 Pro Max,428x926 pt（1284x2778 px @3x）
iPhone 12 Pro,390x844 pt（1170x2532 px @3x）
iPhone 12,390x844 pt（1170x2532 px @3x）
iPhone 12 mini,375x812 pt（1125x2436 px @3x）
iPhone 11 Pro Max,414x896 pt（1242x2688 px @3x）
iPhone 11 Pro,375x812 pt（1125x2436 px @3x）
iPhone 11,414x896 pt（828x1792 px @2x）
iPhone XS Max,414x896 pt（1242x2688 px @3x）
iPhone XS,375x812 pt（1125x2436 px @3x）
iPhone XR,414x896 pt（828x1792 px @2x）
iPhone X,375x812 pt（1125x2436 px @3x）
iPhone 8 Plus,414x736 pt（1080x1920 px @3x）
iPhone 8,375x667 pt（750x1334 px @2x）
iPhone 7 Plus,414x736 pt（1080x1920 px @3x）
iPhone 7,375x667 pt（750x1334 px @2x）
iPhone 6s Plus,414x736 pt（1080x1920 px @3x）
iPhone 6s,375x667 pt（750x1334 px @2x）
iPhone 6 Plus,414x736 pt（1080x1920 px @3x）
iPhone 6,375x667 pt（750x1334 px @2x）
4.7インチiPhone SE,375x667 pt（750x1334 px @2x）
4インチiPhone SE,320x568 pt（640x1136 px @2x）
iPod touch（第5世代以降）,320x568 pt（640x1136 px @2x）
